title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",11,10,2024-12-06,109,0
Does To Me,Luke Combs Featuring Eric Church,20,190,2020-03-27,460,1
Dog Days Are Over,Florence + The Machine,21,210,2010-09-24,499,1
Dog Days Are Over,Glee Cast,22,1,2010-12-17,80,0
Dog Days Are Over,Vicci Martinez,68,1,2011-07-08,34,0
Dogtooth,"Tyler, The Creator",33,10,2023-04-07,87,0
Doin' This,Luke Combs,26,276,2021-11-26,626,1
Doin' Time,Lana Del Rey,59,3,2019-09-13,47,0
Doin' What She Likes,Blake Shelton,35,153,2014-01-31,371,1
Doja,$NOT & A$AP Rocky,87,1,2022-02-18,15,0
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,47,1,2021-10-01,55,0
Dollaz On My Head,Gunna Featuring Young Thug,38,190,2020-06-05,442,1
Dolly,Lil Tecca & Lil Uzi Vert,80,1,2020-10-02,22,0
Domino,Jessie J,6,435,2011-10-28,964,1
Don't,Bryson Tiller,13,595,2015-10-16,1277,1
Don't,Ed Sheeran,9,666,2014-06-27,1423,1
Don't Believe The Hype,Polo G,88,1,2020-05-29,14,0
Don't Break My Heart,The Weeknd,85,1,2022-01-21,17,0
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",13,28,2019-09-27,143,1
Don't Call Me Up,Mabel,66,55,2019-04-05,144,1
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,67,1,2019-07-12,35,0
Don't Come Lookin',Jackson Dean,50,120,2022-09-02,290,1
Don't Come Out The House,Metro Boomin Featuring 21 Savage,38,10,2018-11-16,82,0
Don't Cry,Lil Wayne Featuring XXXTENTACION,5,6,2018-10-12,107,0
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,97,1,2010-12-17,5,0
Don't Drop That Thun Thun!,The FiNATTiCZ,35,55,2013-07-26,175,1
Don't Forget,Rod Wave,63,1,2021-04-09,39,0
Don't Get Too High,Bryson Tiller,89,1,2017-06-16,13,0
Don't Go,"Skrillex, Justin Bieber & Don Toliver",69,1,2021-09-03,33,0
Don't Go Breaking My Heart,Backstreet Boys,63,55,2018-06-01,147,1
Don't Go Breaking My Heart,Glee Cast,50,1,2010-10-29,52,0
Don't Go Yet,Camila Cabello,42,45,2021-08-06,148,1
Don't Hold Your Breath,Nicole Scherzinger,86,1,2011-09-02,16,0
Don't Hurt Yourself,Beyonce Featuring Jack White,28,3,2016-05-13,78,0
Don't It,Billy Currington,44,210,2015-03-20,476,1
Don't Judge Me,Chris Brown,67,210,2012-11-16,453,1
Don't Let Me Be Lonely,The Band Perry,59,136,2013-11-01,313,1
Don't Let Me Down,The Chainsmokers Featuring Daya,3,1378,2016-02-26,2853,1
Don't Let Me Fall,B.o.B,67,1,2010-04-23,35,0
Don't Matter To Me,Drake Featuring Michael Jackson,9,15,2018-07-13,121,1
Don't Mind,Kent Jones,8,210,2016-05-20,512,1
Don't Need Friends,NAV Featuring Lil Baby,65,1,2020-11-20,37,0
Don't Play,Polo G Featuring Lil Baby,66,1,2021-12-17,36,0
Don't Play That,King Von & 21 Savage,40,15,2022-02-18,90,0
Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B,69,10,2023-04-07,51,0
Don't Pretend,Khalid x SAFE,84,1,2019-04-19,18,0
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68,1,2017-07-14,34,0
Don't Rush,Kelly Clarkson Featuring Vince Gill,87,6,2012-11-16,25,0
Don't Rush,Young T & Bugsey Featuring Headie One,56,105,2020-05-15,254,1
Don't Smile,Sabrina Carpenter,35,6,2024-09-06,77,0
Don't Start Now,Dua Lipa,2,1378,2019-11-15,2854,1
Don't Stop,5 Seconds Of Summer,47,6,2014-05-30,65,0
Don't Stop,Glee Cast,79,1,2011-05-20,23,0
Don't Stop,Megan Thee Stallion Featuring Young Thug,30,55,2020-10-16,180,1
Don't Stop (Color On The Walls),Foster The People,86,45,2012-01-27,104,0
Don't Stop Believin',Glee Cast,4,7,2010-06-25,110,0
Don't Stop The Party,Pitbull Featuring TJR,17,210,2012-10-12,503,1
Don't Stop The Party,The Black Eyed Peas,86,10,2011-08-12,34,0
Don't Tell 'Em,Jeremih Featuring YG,6,496,2014-07-11,1086,1
Don't Think Jesus,Morgan Wallen,7,21,2022-04-29,135,1
Don't Think They Know,Chris Brown Featuring Aaliyah,81,3,2013-07-12,25,0
Don't Touch My Hair,Solange Featuring Sampha,91,1,2016-10-21,11,0
Don't Understand,Post Malone,88,1,2023-08-11,14,0
Don't Wake Me Up,Chris Brown,10,406,2012-06-08,902,1
Don't Wanna Break Up Again,Ariana Grande,28,3,2024-03-22,78,0
Don't Wanna Go Home,Jason Derulo,14,120,2011-06-03,326,1
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,6,378,2016-10-28,850,1
Don't Ya,Brett Eldredge,30,210,2013-06-07,490,1
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,31,496,2010-11-19,1061,1
Don't You Want Me,Glee Cast,49,1,2011-03-11,53,0
Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,561,2012-10-05,1216,1
Donald Trump,Mac Miller,75,28,2011-06-10,81,0
Donda,Kanye West,58,1,2021-09-10,44,0
Done,Chris Janson,41,78,2020-06-26,215,1
Done For Me,Charlie Puth Featuring Kehlani,53,45,2018-05-18,137,1
Dont Let Me Go,mgk,76,1,2024-03-08,26,0
Doom,Juice WRLD,75,1,2021-12-24,27,0
Doomsday.,"Lyrical Lemonade, Juice WRLD & Cordae",58,1,2023-07-07,44,0
Dope,Lady Gaga,8,3,2013-11-22,98,0
Dope,Tyga Featuring Rick Ross,68,55,2013-02-08,142,1
Dope N****z,Lil Wayne Featuring Snoop Dogg,39,1,2018-10-12,63,0
Dope New Gospel,Lil Wayne Featuring Nivea,90,1,2018-10-12,12,0
Dorothea,Taylor Swift,67,1,2020-12-25,35,0
Dos Dias,Tito Double P & Peso Pluma,51,120,2024-09-20,289,1
Dos Mil 16,Bad Bunny,45,6,2022-05-20,67,0
Dos Oruguitas,Sebastian Yatra,36,136,2022-01-14,336,1
Double Down,Lil Baby,54,1,2022-10-28,48,0
Double Fantasy,The Weeknd Featuring Future,18,15,2023-05-05,112,0
Double Life,Pharrell Williams,89,1,2024-08-23,13,0
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,65,6,2019-04-12,47,0
Double Vision,3OH!3,87,10,2010-07-02,33,0
Down,Fifth Harmony Featuring Gucci Mane,42,55,2017-06-23,168,1
Down,Jay Sean Featuring Lil Wayne,1,520,2010-01-01,1139,1
Down,Marian Hill,21,153,2017-02-03,385,1
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",64,3,2019-06-28,42,0
Down Bad,Taylor Swift,2,78,2024-05-03,254,1
Down Hill,Drake,62,1,2022-07-01,40,0
Down Home,Jimmie Allen,61,45,2022-10-07,129,1
Down In Atlanta,Pharrell Williams & Travis Scott,88,1,2022-12-02,14,0
Down In The DM,Yo Gotti Featuring Nicki Minaj,13,231,2015-12-18,549,1
Down On Me,Jeremih Featuring 50 Cent,4,561,2010-11-26,1218,1
Down That Road,Alisan Porter,100,1,2016-06-10,2,0
Down To One,Luke Bryan,36,210,2021-01-08,484,1
Down To The Honkytonk,Jake Owen,65,91,2019-01-11,217,1
Downtown,Lady Antebellum,29,210,2013-02-22,491,1
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",12,210,2015-09-11,508,1
Downtown's Dead,Sam Hunt,94,3,2018-06-01,12,0
Draco,Future,46,36,2017-03-10,126,1
Drag Me Down,One Direction,3,210,2015-08-21,517,1
Drank In My Cup,Kirko Bangz,28,253,2012-02-24,578,1
Drankin N Smokin,Future & Lil Uzi Vert,31,171,2020-11-27,411,1
Dream On,Glee Cast Featuring Neil Patrick Harris,26,3,2010-06-04,80,0
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,72,1,2018-11-16,30,0
Dreamin Of The Past,Pusha T Featuring Kanye West,81,1,2022-05-06,21,0
Dreams,Fleetwood Mac,1,86,2020-10-16,271,1
Dreams,Glee Cast Featuring Kristin Chenoweth,92,1,2011-05-20,10,0
Dreams Money Can Buy,Drake,68,1,2019-08-16,34,0
Drew A Picasso,Drake,27,3,2023-10-20,79,0
Drew Barrymore,Bryce Vine,46,105,2018-08-24,264,1
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,98,1,2015-12-25,4,0
Drink A Beer,Luke Bryan,31,210,2013-11-22,489,1
Drink In My Hand,Eric Church,40,210,2011-10-07,480,1
Drink N Dance,Future & Metro Boomin,51,1,2024-04-26,51,0
Drink On It,Blake Shelton,39,190,2012-02-10,441,1
Drink To That All Night,Jerrod Niemann,34,210,2014-01-17,486,1
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,24,210,2021-06-11,496,1
Drinkin' Problem,Midland,45,210,2017-05-26,475,1
Drinkin' Too Much,Sam Hunt,89,1,2017-01-27,13,0
Drinking Alone,Carrie Underwood,74,28,2020-05-08,82,0
Drinking Class,Lee Brice,53,253,2014-10-31,553,1
Drip,Cardi B Featuring Migos,21,55,2018-04-20,189,1
Drip Too Hard,Lil Baby & Gunna,4,630,2018-09-28,1356,1
Drive,Miley Cyrus,87,1,2013-10-25,15,0
Drive By,Train,10,666,2012-01-27,1422,1
Drivers License,Olivia Rodrigo,1,406,2021-01-22,911,1
Driving Me Crazy,Sam Adams,90,1,2010-03-26,12,0
Drop It Low,Ester Dean Featuring Chris Brown,38,48,2010-01-01,158,1
Drop The World,Lil Wayne Featuring Eminem,18,210,2010-01-15,502,1
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,38,231,2017-04-21,524,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,32,190,2018-06-29,448,1
Drug Addiction,YoungBoy Never Broke Again,44,3,2020-09-25,62,0
Drug Addicts,Lil Pump,83,1,2018-07-20,19,0
Drugs You Should Try It,Travis Scott,66,1,2024-09-06,36,0
Drummer Boy,Justin Bieber Featuring Busta Rhymes,86,3,2011-11-18,20,0
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,37,465,2021-03-12,993,1
Drunk Dialing...LODT,Summer Walker,79,1,2019-10-18,23,0
Drunk Face,Machine Gun Kelly,91,1,2020-10-09,11,0
Drunk Girl,Chris Janson,79,55,2018-09-07,131,1
Drunk In Love,Beyonce Featuring Jay Z,2,210,2014-01-03,518,1
Drunk Last Night,Eli Young Band,41,210,2013-07-12,479,1
Drunk Me,Mitchell Tenpenny,39,231,2018-08-10,523,1
Drunk On A Plane,Dierks Bentley,27,210,2014-05-30,493,1
Drunk On You,Luke Bryan,16,300,2011-08-26,684,1
Drunk On Your Love,Brett Eldredge,35,120,2016-01-29,305,1
Dua Lipa,Jack Harlow,21,10,2022-05-20,99,0
Dubai Shit,Huncho Jack Featuring Offset,83,1,2018-01-05,19,0
Duckworth.,Kendrick Lamar,63,1,2017-05-05,39,0
Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada,82,36,2016-07-29,90,0
Dumb & Poetic,Sabrina Carpenter,32,6,2024-09-06,80,0
Dumb Love,Sean Kingston,84,1,2010-09-24,18,0
Dura,Daddy Yankee,43,231,2018-02-16,519,1
Durag Activity,Baby Keem & Travis Scott,85,1,2021-05-14,17,0
Dusk Till Dawn,Zayn Featuring Sia,44,138,2017-09-29,332,1
Dust,Eli Young Band,79,45,2014-07-25,111,0
Dying Man,Morgan Wallen,43,10,2023-03-17,77,0
Dynamite,BTS,1,528,2020-09-04,1155,1
Dynamite,Taio Cruz,2,1128,2010-06-18,2354,1
E.T.,Katy Perry Featuring Kanye West,1,465,2010-09-03,1029,1
EARFQUAKE,"Tyler, The Creator",13,120,2019-05-31,327,1
EPMD 2,Nas Featuring Eminem & EPMD,79,1,2021-08-20,23,0
ETA,NewJeans,81,1,2023-08-04,21,0
EW!,Jimmy Fallon Featuring will.i.am,26,3,2014-10-24,80,0
Earned It (Fifty Shades Of Grey),The Weeknd,3,946,2015-01-09,1989,1
Earth,Lil Dicky,17,21,2019-05-03,125,1
Easier,5 Seconds Of Summer,48,136,2019-06-07,324,1
East Side Of Sorrow,Zach Bryan,18,21,2023-09-08,124,1
Eastside,"benny blanco, Halsey & Khalid",9,1378,2018-07-27,2847,1
Easy,DaniLeigh Featuring Chris Brown,79,120,2019-11-15,261,1
Easy,LE SSERAFIM,99,1,2024-03-08,3,0
Easy,Rascal Flatts Featuring Natasha Bedingfield,43,276,2011-08-12,609,1
Easy,Sheryl Crow,72,36,2013-07-19,100,0
Easy On Me,Adele,1,496,2021-10-22,1091,1
Eat It,Megan Thee Stallion,82,1,2021-11-12,20,0
Eat Your Young,Hozier,67,3,2023-03-31,39,0
Eazy,The Game & Kanye West,49,6,2022-01-28,63,0
Echame La Culpa,Luis Fonsi & Demi Lovato,47,205,2017-12-08,463,1
Ecstasy,Young Thug Featuring Machine Gun Kelly,92,1,2019-08-30,10,0
Edging,blink-182,61,1,2022-10-28,41,0
Eenie Meenie,Sean Kingston & Justin Bieber,15,171,2010-04-09,427,1
Efecto,Bad Bunny,34,253,2022-05-20,572,1
Eight Second Ride,Jake Owen,70,70,2010-01-01,170,1
Either Way,Chris Stapleton,89,3,2017-05-26,17,0
El Amante,Nicky Jam,92,120,2017-02-17,248,1
El Amor de Su Vida,Grupo Frontera & Grupo Firme,67,210,2023-08-18,453,1
El Apagon,Bad Bunny,54,3,2022-05-20,52,0
El Azul,Junior H x Peso Pluma,55,136,2023-04-21,317,1
El Bano,Enrique Iglesias Featuring Bad Bunny,98,1,2018-01-26,4,0
El Cerrito Place,Kenny Chesney,72,91,2012-10-26,210,1
El Club,Bad Bunny,66,1,2024-12-20,36,0
El Dorado,Zach Bryan,31,6,2023-09-08,81,0
El Farsante,Ozuna & Romeo Santos,49,210,2018-02-09,471,1
El Gordo Trae El Mando,Chino Pacas,58,91,2023-03-31,224,1
El Jefe,Shakira X Fuerza Regida,55,1,2023-10-06,47,0
El Lokeron,Tito Double P,73,36,2024-10-11,99,0
El Mundo Es Mio,Bad Bunny,79,1,2020-12-11,23,0
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,85,1,2014-02-07,17,0
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,56,465,2015-04-10,974,1
El Verdadero Amor Perdona,Mana Featuring Prince Royce,100,1,2011-12-09,2,0
Elastic Heart,Sia,17,465,2015-01-23,1013,1
Electric Body,A$AP Rocky Featuring ScHoolboy Q,80,3,2015-06-12,26,0
Electric Touch (Taylor's Version) (From The Vault),Taylor Swift Featuring Fall Out Boy,35,1,2023-07-21,67,0
Electricity,Silk City x Dua Lipa,62,55,2018-09-21,148,1
Element.,Kendrick Lamar,16,66,2017-05-05,216,1
Elevate,Drake,14,6,2018-07-13,98,0
Elevator,Eminem,67,1,2010-01-01,35,0
Eleven,Khalid,83,1,2020-01-24,19,0
Ella Baila Sola,Eslabon Armado X Peso Pluma,4,276,2023-03-31,648,1
Ella Quiere Beber,Anuel AA & Romeo Santos,61,210,2018-11-16,459,1
Emo Girl,Machine Gun Kelly & WILLOW,77,3,2022-02-18,29,0
Emoji A Chain,Migos,87,1,2018-02-09,15,0
Emotionally Scarred,Lil Baby,31,325,2020-03-13,719,1
Emotionless,Drake,8,10,2018-07-13,112,0
Emperor's New Clothes,Panic! At The Disco,68,10,2015-11-13,52,0
Empire,Shakira,58,78,2014-04-11,198,1
Empire Now,Hozier,98,1,2024-04-05,4,0
Empire State Of Mind,Glee Cast,21,3,2010-10-08,85,0
Empire State Of Mind,Jay-Z + Alicia Keys,1,360,2010-01-01,819,1
Empire State Of Mind (Part II) Broken Down,Alicia Keys,55,1,2010-01-01,47,0
Empty,Juice WRLD,41,10,2019-03-22,79,0
Empty Out Your Pockets,Juice WRLD,56,6,2024-12-13,56,0
Enchanted,Taylor Swift,75,1,2010-11-12,27,0
Enchanted (Taylor's Version),Taylor Swift,19,6,2023-07-21,93,0
End Game,Taylor Swift Featuring Ed Sheeran & Future,18,100,2017-12-08,282,1
End Of Beginning,Djo,11,231,2024-03-01,551,1
Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj,20,6,2023-07-14,92,0
Enemies,Post Malone Featuring DaBaby,16,171,2019-09-20,426,1
Enemy,Imagine Dragons X JID,5,666,2021-12-03,1427,1
Energy,Beyonce Featuring BEAM,27,3,2022-08-12,79,0
Energy,Drake,26,210,2015-02-27,494,1
Enjoy Yourself,Pop Smoke Featuring Karol G,56,3,2020-07-17,50,0
Enough (Miami),Cardi B,9,105,2024-03-29,301,1
Enough For You,Olivia Rodrigo,14,21,2021-06-04,128,1
Enough Is Enough,Post Malone,56,1,2023-08-11,46,0
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,84,45,2012-08-17,106,0
Ensename A Bailar,Bad Bunny,60,3,2022-05-20,46,0
Envolver,Anitta,70,21,2022-04-08,72,0
Envy Me,Calboy,31,378,2018-12-28,825,1
Epidemic,Polo G,47,10,2020-10-09,73,0
Epiphany,Taylor Swift,57,1,2020-08-07,45,0
Equal Dirt,Rylo Rodriguez,100,1,2023-08-04,2,0
Erase Me,Kid Cudi Featuring Kanye West,22,15,2010-09-10,108,0
Eraser,Ed Sheeran,90,1,2017-03-24,12,0
Errbody,Lil Baby,41,3,2020-12-18,65,0
Errrbody,Yo Gotti,98,1,2014-10-24,4,0
Escapate Conmigo,Wisin Featuring Ozuna,63,210,2017-06-30,457,1
Escape From LA,The Weeknd,39,1,2020-04-03,63,0
Escape Plan,Travis Scott,11,6,2021-11-19,101,0
Escapism,RAYE Featuring 070 Shake,22,276,2022-12-16,630,1
Espresso,Sabrina Carpenter,3,666,2024-04-26,1429,1
Essence,Wizkid Featuring Justin Bieber & Tems,9,630,2021-07-16,1351,1
Esskeetit,Lil Pump,24,78,2018-04-27,232,1
Esta Cabron Ser Yo,Bad Bunny X Anuel AA,97,1,2020-03-13,5,0
Esta Danada,Ivan Cornejo,61,15,2021-10-15,69,0
Eternal Sunshine,Ariana Grande,23,6,2024-03-22,89,0
Euphoria,Kendrick Lamar,3,136,2024-05-10,369,1
Euthanasia,Post Malone,100,1,2022-06-17,2,0
Evacuate The Dancefloor,Cascada,25,180,2010-01-01,435,1
Even If It Breaks Your Heart,Eli Young Band,29,210,2012-03-30,491,1
Even Love,Rod Wave,82,1,2024-10-25,20,0
Even Though I'm Leaving,Luke Combs,11,300,2019-06-21,689,1
Evergreen,Omar Apollo,51,28,2022-09-30,105,0
Evergreen,Richy Mitch And The Coal Miners,83,3,2024-08-23,23,0
Evermore,Taylor Swift Featuring Bon Iver,57,1,2020-12-25,45,0
Every Angel Is Terrifying,The Weeknd,93,1,2022-01-21,9,0
Every Breath You Take,Hannah Huston,94,1,2016-06-10,8,0
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,20,210,2021-05-14,500,1
Every Hour,Kanye West Featuring Sunday Service Choir,45,1,2019-11-08,57,0
Every Little Thing,Carly Pearce,50,153,2017-08-18,356,1
Every Little Thing,Russell Dickerson,50,78,2019-08-30,206,1
Every Storm (Runs Out Of Rain),Gary Allan,26,210,2012-10-19,494,1
Every Teardrop Is A Waterfall,Coldplay,14,171,2011-06-17,428,1
Every Time I Hear That Song,Blake Shelton,56,66,2017-05-26,176,1
Everybody,Logic,59,3,2017-04-21,47,0
Everybody,Mac Miller,80,1,2020-01-31,22,0
Everybody,Nicki Minaj Featuring Lil Uzi Vert,24,210,2023-12-22,496,1
Everybody Dies,J. Cole,57,1,2016-12-30,45,0
Everybody Dies In Their Nightmares,XXXTENTACION,42,28,2017-09-15,114,0
Everybody Hates Me,The Chainsmokers,100,1,2018-03-30,2,0
Everybody Talks,Neon Trees,6,780,2012-03-30,1654,1
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,77,45,2013-11-22,113,0
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,92,3,2015-06-19,14,0
Everyday,Ariana Grande Featuring Future,55,28,2017-03-03,101,0
Everyday,Logic & Marshmello,29,91,2018-03-16,253,1
Everyday Hustle,"Future, Metro Boomin & Rick Ross",38,3,2024-04-05,68,0
Everyday We Lit,YFN Lucci Featuring PnB Rock,33,210,2017-04-28,487,1
Everything,Lil Baby,52,1,2022-10-28,50,0
Everything 1K,Kodak Black,84,1,2017-03-03,18,0
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,32,210,2012-11-09,488,1
Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran,63,1,2021-11-26,39,0
Everything I Didn't Say,5 Seconds Of Summer,24,1,2014-08-01,78,0
Everything I Love,Morgan Wallen,14,903,2023-02-10,1892,1
Everything I Shouldn't Be Thinking About,Thompson Square,69,78,2014-01-31,187,1
Everything I Wanted,Billie Eilish,8,561,2019-11-22,1214,1
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,57,6,2014-02-28,55,0
Everything She Ain't,Hailey Whitters,94,1,2023-05-26,8,0
Everything To Me,Monica,44,171,2010-02-26,398,1
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,33,1,2019-11-08,69,0
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,91,2018-05-04,216,1
Everytime,Ariana Grande,62,1,2018-08-31,40,0
Everywhere But On,Matt Stell,48,78,2020-09-18,208,1
"Everywhere, Everything",Noah Kahan With Gracie Abrams,79,1,2023-12-15,23,0
Evil,Eminem,30,1,2024-07-26,72,0
Evil Twins,King Von & Lil Durk,96,1,2022-03-18,6,0
Evil Ways,Drake Featuring J. Cole,26,1,2023-12-01,76,0
Ex For A Reason,Summer Walker & JT,33,15,2021-10-29,97,0
Ex's & Oh's,Elle King,10,741,2015-07-24,1572,1
Exchange,Bryson Tiller,26,595,2015-11-13,1264,1
Exes,Tate McRae,34,210,2023-12-01,486,1
Exile,Taylor Swift Featuring Bon Iver,6,15,2020-08-07,124,1
Expensive,Ty Dolla $ign Featuring Nicki Minaj,83,1,2020-09-11,19,0
Expensive Pain,Meek Mill,66,1,2021-10-15,36,0
Explosions,Ellie Goulding,100,1,2014-02-28,2,0
Extra Luv,Future Featuring YG,99,1,2017-07-21,3,0
Eye 2 Eye,Huncho Jack Featuring Takeoff,65,1,2018-01-05,37,0
Eyes Closed,Ed Sheeran,19,210,2023-04-07,501,1
Eyes On You,Chase Rice,38,210,2019-03-01,482,1
Eyes Open,Taylor Swift,19,91,2012-04-06,263,1
Eyes Wide Open,Gotye,96,1,2012-05-04,6,0
F&N,Future,83,1,2019-02-01,19,0
F**k Fame,Rod Wave Featuring Lil Yachty & Lil Baby,50,1,2024-10-25,52,0
F**k Him He's A DJ,Ke$ha,97,1,2011-04-08,5,0
F**k Love,XXXTENTACION Featuring Trippie Redd,28,214,2017-09-15,500,1
F**k That Check Up,Meek Mill & Lil Uzi Vert,97,1,2017-08-11,5,0
F**k The Industry Pt. 2,YoungBoy Never Broke Again,87,1,2023-05-26,15,0
F**k Today,Lil Wayne Featuring Gudda,76,1,2010-02-19,26,0
F**k You! (Forget You),CeeLo Green,2,1176,2010-09-10,2450,1
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",8,378,2012-11-16,848,1
F**kin' Perfect,P!nk,2,465,2010-12-31,1028,1
F*ck U Thought,Lil Durk,77,1,2023-09-01,25,0
"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly,99,1,2020-11-20,3,0
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,64,45,2013-07-26,126,1
F.N,Lil Tjay,56,105,2019-08-23,254,1
F.N.F. (Let's Go),Hitkidd & GloRilla,42,210,2022-06-10,478,1
F150-50,Morgan Wallen,53,3,2023-03-17,53,0
F2F,SZA,55,3,2022-12-23,51,0
FE!N,Travis Scott Featuring Playboi Carti,5,528,2023-08-11,1151,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,3,210,2018-08-03,517,1
FML,Kanye West,84,1,2016-04-22,18,0
FR,Lil Baby,76,1,2022-10-28,26,0
FRI(END)S,V,65,1,2024-03-29,37,0
FTCU,Nicki Minaj,15,210,2023-12-22,505,1
FYTB,Brent Faiyaz Featuring Joony,97,1,2022-07-22,5,0
Face 2 Face,Juice WRLD,92,1,2022-12-30,10,0
Face My Fears,Hikaru Utada & Skrillex,98,1,2019-02-01,4,0
Facetime,King Von Featuring G Herbo,92,1,2022-03-18,10,0
Facts,Tom MacDonald X Ben Shapiro,16,1,2024-02-09,86,0
Fade,Kanye West,47,91,2016-09-23,235,1
Fade Into You,Sam Palladio & Clare Bowen,92,1,2012-11-09,10,0
Faded,Alan Walker,80,36,2016-04-29,92,0
Faded,Tyga Featuring Lil Wayne,33,253,2012-02-03,573,1
Fading,Rod Wave,96,1,2022-08-26,6,0
Failure,Breaking Benjamin,80,1,2015-04-10,22,0
Fair Trade,Drake Featuring Travis Scott,3,153,2021-09-17,403,1
Fairly Local,Twenty One Pilots,84,1,2015-04-03,18,0
Faith,George Michael,1,21,2017-01-13,141,1
Faith,The Weeknd,45,1,2020-04-03,57,0
Faithful,Drake Featuring Pimp C & dvsn,72,3,2016-05-20,34,0
Faithfully,Glee Cast,37,1,2010-06-25,65,0
Fake Love,BTS,10,21,2018-06-01,132,1
Fake Love,Drake,8,325,2016-11-11,742,1
Fake Smile,Ariana Grande,26,3,2019-02-22,80,0
Fake Woke,Tom MacDonald,96,1,2021-02-12,6,0
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,10,2017-12-08,26,0
Fall,Eminem,12,10,2018-09-14,108,0
Fall Down,will.i.am Featuring Miley Cyrus,58,1,2013-05-03,44,0
Fall Fast In Love,Rod Wave,49,10,2024-10-11,71,0
Fall For Your Type,Jamie Foxx Featuring Drake,50,171,2010-12-24,392,1
Fall In Love,Bailey Zimmerman,29,595,2022-04-29,1261,1
Fallin 4 U,Nicki Minaj,74,1,2023-12-22,28,0
Fallin',Why Don't We,37,1,2020-10-16,65,0
Fallin' For You,Colbie Caillat,12,196,2010-01-01,480,1
Falling,Harry Styles,62,1,2019-12-27,40,0
Falling,Trevor Daniel,17,741,2019-11-29,1565,1
Falling Back,Drake,7,3,2022-07-01,99,0
Falling Down,Lil Peep & XXXTENTACION,13,66,2018-09-28,219,1
Falling Down,Selena Gomez & The Scene,82,7,2010-01-08,32,0
Falling Slowly,Lee DeWyze & Crystal Bowersox,66,3,2010-06-11,40,0
False Alarm,The Weeknd,55,10,2016-10-21,65,0
False God,Taylor Swift,77,1,2019-09-06,25,0
False Prophets,J. Cole,54,3,2016-12-23,52,0
Family Feud,JAY-Z Featuring Beyonce,51,1,2017-07-28,51,0
Family Man,Craig Campbell,84,21,2011-04-08,58,0
Family Matters,Drake,7,21,2024-05-17,135,1
Family Ties,Baby Keem & Kendrick Lamar,18,190,2021-09-10,462,1
Famous,21 Savage,94,1,2017-07-28,8,0
Famous,Kanye West,34,105,2016-04-22,276,1
Famous,Lil Wayne Featuring Reginae Carter,36,1,2018-10-12,66,0
Famous,Mason Ramsey,62,3,2018-05-11,44,0
Famous Friends,Chris Young + Kane Brown,21,253,2021-04-02,585,1
Famous Hoes,NLE Choppa,83,1,2019-12-27,19,0
Fancy,Drake Featuring T.I. & Swizz Beatz,25,210,2010-07-02,495,1
Fancy,Iggy Azalea Featuring Charli XCX,1,780,2014-03-21,1659,1
Fancy Like,Walker Hayes,3,1035,2021-07-02,2167,1
